add new symbol AAPL
add new symbol MSFT
add new symbol CSCO
add new symbol TSLA
add new symbol GOOD
add new symbol FB
add new symbol BABA
add new symbol AMZN
add new symbol SWIR
add new symbol BIDU
add new symbol GOOG
add new symbol NFLX
add new symbol V
add new symbol MA
add new symbol STM
 AAPL,   161.22
 MSFT,    73.24
 CSCO,    32.03
 TSLA,   362.44
 GOOD,    20.84
   FB,   170.55
 BABA,   156.10
 AMZN,   983.77
 SWIR,    22.70
 BIDU,   225.62
 GOOG,   921.47
 NFLX,   168.89
    V,   102.37
   MA,   131.53
  STM,    16.87
 AAPL,   161.22
 MSFT,    73.24
 CSCO,    32.03
 TSLA,   362.40
 GOOD,    20.84
   FB,   170.60
 BABA,   156.17
 AMZN,   983.63
 SWIR,    22.70
 BIDU,   225.60
 GOOG,   921.24
 NFLX,   168.89
    V,   102.40
   MA,   131.55
  STM,    16.87
 AAPL,   161.24
 MSFT,    73.24
 CSCO,    32.03
 TSLA,   362.40
 GOOD,    20.84
   FB,   170.59
 BABA,   156.20
 AMZN,   983.63
 SWIR,    22.70
 BIDU,   225.56
 GOOG,   921.24
 NFLX,   168.85
    V,   102.40
   MA,   131.54
  STM,    16.86
 AAPL,   161.26
 MSFT,    73.23
 CSCO,    32.03
 TSLA,   362.41
 GOOD,    20.84
   FB,   170.56
 BABA,   156.21
 AMZN,   983.63
 SWIR,    22.65
 BIDU,   225.74
 GOOG,   921.24
 NFLX,   168.83
    V,   102.40
   MA,   131.54
  STM,    16.87
 AAPL,   161.25
 MSFT,    73.24
 CSCO,    32.04
 TSLA,   362.32
 GOOD,    20.84
   FB,   170.60
 BABA,   156.23
 AMZN,   983.64
 SWIR,    22.65
 BIDU,   225.66
 GOOG,   921.76
 NFLX,   168.73
    V,   102.40
   MA,   131.54
  STM,    16.87
 AAPL,   161.28
 MSFT,    73.25
 CSCO,    32.04
 TSLA,   362.28
 GOOD,    20.84
   FB,   170.64
 BABA,   156.22
 AMZN,   983.64
 SWIR,    22.65
 BIDU,   225.66
 GOOG,   921.91
 NFLX,   168.83
    V,   102.40
   MA,   131.57
  STM,    16.88
 AAPL,   161.30
 MSFT,    73.25
 CSCO,    32.04
 TSLA,   362.38
 GOOD,    20.84
   FB,   170.61
 BABA,   156.29
 AMZN,   983.64
 SWIR,    22.65
 BIDU,   225.74
 GOOG,   921.91
 NFLX,   168.82
    V,   102.39
   MA,   131.57
  STM,    16.88
 AAPL,   161.32
 MSFT,    73.25
 CSCO,    32.04
 TSLA,   362.71
 GOOD,    20.84
   FB,   170.64
 BABA,   156.29
 AMZN,   983.90
 SWIR,    22.64
 BIDU,   225.80
 GOOG,   922.31
